Date,44T,62T,63T,78T,80T
5/2/23,11,17,20,14,12
6/2/23,11,16,19,11,15
7/2/23,14,16,20,10,18
8/2/23,13,21,23,14,16
9/2/23,13,22,19,13,14
10/2/23,13,19,20,10,16
11/2/23,10,15,22,14,15
12/2/23,12,17,18,14,15
13/2/23,14,18,20,11,16
14/2/23,14,19,19,13,14
15/2/23,12,21,20,15,12
16/2/23,12,21,20,15,14
17/2/23,16,22,20,11,20
18/2/23,14,16,21,10,15
19/2/23,18,15,19,11,19
20/2/23,15,19,20,11,16
21/2/23,15,20,21,11,17
22/2/23,19,23,23,12,23
23/2/23,21,23,25,12,30
24/2/23,18,23,24,13,25
25/2/23,20,23,27,13,34
26/2/23,25,28,33,14,34
27/2/23,31,29,37,17,42
28/2/23,29,25,36,15,34
1/3/23,28,17,19,12,18
2/3/23,17,21,22,13,12
3/3/23,15,20,20,13,12
4/3/23,20,22,28,14,17
5/3/23,23,28,31,15,19
6/3/23,23,32,31,18,19
7/3/23,30,32,36,17,27
8/3/23,20,23,28,17,18
9/3/23,18,22,25,15,16
10/3/23,17,20,24,13,13
11/3/23,21,21,26,12,15
12/3/23,24,30,31,14,21
13/3/23,24,28,29,20,23
14/3/23,23,32,30,14,16
15/3/23,24,29,31,19,19
16/3/23,19,23,26,15,12
17/3/23,15,18,23,14,11
18/3/23,16,18,22,14,11
19/3/23,16,20,21,13,10
20/3/23,16,19,21,14,12
21/3/23,14,16,21,14,10
22/3/23,16,15,20,13,11
23/3/23,16,17,22,12,12
24/3/23,21,16,20,12,14
25/3/23,17,17,21,15,13
26/3/23,19,14,19,12,13
27/3/23,21,20,25,15,14
28/3/23,18,14,18,13,13
29/3/23,14,13,17,13,12
30/3/23,17,17,21,13,11
31/3/23,23,20,23,14,16
1/4/23,19,18,22,15,16
2/4/23,21,17,24,15,14
3/4/23,22,17,20,13,13
4/4/23,20,19,22,14,14
5/4/23,20,16,19,13,13
6/4/23,20,16,19,12,10
7/4/23,22,19,22,13,13
8/4/23,21,15,18,13,12
9/4/23,15,15,19,13,10
10/4/23,23,24,28,18,16
11/4/23,33,32,32,23,23
12/4/23,36,35,37,26,25
13/4/23,34,33,34,25,24
14/4/23,33,32,34,25,26
15/4/23,41,38,34,30,36
16/4/23,38,41,34,31,42
17/4/23,39,39,42,28,37
18/4/23,39,34,39,19,37
19/4/23,35,23,28,12,31
20/4/23,33,23,28,13,29
21/4/23,26,25,31,13,24
22/4/23,26,16,22,10,21
23/4/23,25,21,24,12,15
24/4/23,21,15,21,13,14
25/4/23,17,14,21,12,13
26/4/23,18,14,20,12,13
27/4/23,15,14,22,12,11
28/4/23,21,17,24,14,15
29/4/23,23,14,22,13,16
30/4/23,20,13,20,12,12
1/5/23,12,11,18,13,10
2/5/23,12,11,19,13,9
3/5/23,12,8,15,14,7
4/5/23,17,11,16,14,6
5/5/23,19,11,15,13,9
6/5/23,17,11,17,16,7
7/5/23,14,10,17,15,5
8/5/23,15,11,16,15,6
9/5/23,14,10,17,16,10
10/5/23,12,10,16,15,9
11/5/23,14,13,18,16,14
12/5/23,16,15,21,17,13
13/5/23,17,15,23,19,17
14/5/23,20,14,21,20,17
15/5/23,20,12,22,20,14
16/5/23,15,14,18,16,8
17/5/23,16,15,19,18,11
18/5/23,13,13,16,17,9
19/5/23,16,11,15,14,9
20/5/23,14,12,16,15,8
21/5/23,16,14,19,16,9
22/5/23,17,15,17,17,10
23/5/23,14,16,19,15,10
24/5/23,17,18,18,17,12
25/5/23,17,20,19,17,10
26/5/23,15,17,18,16,9
27/5/23,14,14,16,16,8
28/5/23,14,14,15,15,7
29/5/23,15,14,16,16,8
30/5/23,14,14,17,14,8
31/5/23,14,13,17,15,7
1/6/23,12,14.6,17.7,14.4,7.7
2/6/23,11.8,12.2,16.5,14.7,6.4
3/6/23,12.6,11.2,17.2,16.1,7.3
4/6/23,12.8,11.5,17.7,16.9,10.4
5/6/23,14.5,12.9,20,17.6,14.5
6/6/23,14.6,13.6,16.6,14.1,8.6
7/6/23,14.7,15,14.8,15,10.5
8/6/23,18.9,12.8,18.1,15.7,20.2
9/6/23,23.1,12.1,22,19.3,22.6
10/6/23,22.6,13.4,22.6,21.7,21.6
11/6/23,20.9,15.5,20.9,17,19.2
12/6/23,21.9,14.4,20.7,16.6,20.2
13/6/23,23.9,14.3,20.6,16.2,24.6
14/6/23,20.4,15.5,19.9,14.9,20.5
15/6/23,19.8,14.3,19.7,12.3,17.8
16/6/23,20.5,16.4,22.3,14,21.5
17/6/23,18.8,17.8,21.9,16.1,21.9
18/6/23,17.8,14.4,15.8,7.4,12.1
19/6/23,18.8,16.6,17.7,7.6,20.2
20/6/23,18,18.8,19.9,8.1,20.4
21/6/23,22.1,20.5,20.8,10.5,22.2
22/6/23,23.6,18.2,19,8.5,23.8
23/6/23,22.8,12.7,18.3,9.3,23.1
24/6/23,19.6,15.8,19.3,7.1,21.9
25/6/23,17.1,13.8,18.1,6.3,15.7
26/6/23,15.5,13.3,15,7.1,14.8
27/6/23,13.7,12,13.5,6.1,8.9
28/6/23,10.7,11.6,12.6,6.7,7.2
29/6/23,11.3,9.7,11.5,6.9,7.5
30/6/23,13.7,11.3,12.9,5.1,9.6
